id,name,firstName,lastName,party,state,district,chamber,title,url,inOffice,lastUpdated
,,,,,Tennessee,7.0,,,https://api.congress.gov/v3/member/G000590?format=json,False,2025-07-28T12:49:47.019331
,,,,,Missouri,1.0,,,https://api.congress.gov/v3/member/C000488?format=json,False,2025-07-28T12:49:47.019360
,,,,,Indiana,8.0,,,https://api.congress.gov/v3/member/M001233?format=json,False,2025-07-28T12:49:47.019369
,,,,,New York,4.0,,,https://api.congress.gov/v3/member/M000309?format=json,False,2025-07-28T12:49:47.019377
,,,,,Montana,,,,https://api.congress.gov/v3/member/W000520?format=json,False,2025-07-28T12:49:47.019385
,,,,,Texas,27.0,,,https://api.congress.gov/v3/member/F000460?format=json,False,2025-07-28T12:49:47.019393
,,,,,Michigan,14.0,,,https://api.congress.gov/v3/member/N000019?format=json,False,2025-07-28T12:49:47.019400
,,,,,Illinois,3.0,,,https://api.congress.gov/v3/member/R000617?format=json,False,2025-07-28T12:49:47.019408
,,,,,Montana,,,,https://api.congress.gov/v3/member/S001232?format=json,False,2025-07-28T12:49:47.019415
,,,,,New Mexico,,,,https://api.congress.gov/v3/member/L000570?format=json,False,2025-07-28T12:49:47.019422
,,,,,Missouri,,,,https://api.congress.gov/v3/member/H001089?format=json,False,2025-07-28T12:49:47.019429
,,,,,New York,13.0,,,https://api.congress.gov/v3/member/R000053?format=json,False,2025-07-28T12:49:47.019436
,,,,,Vermont,,,,https://api.congress.gov/v3/member/W000800?format=json,False,2025-07-28T12:49:47.019444
,,,,,Virginia,11.0,,,https://api.congress.gov/v3/member/C001078?format=json,False,2025-07-28T12:49:47.019451
,,,,,Ohio,,,,https://api.congress.gov/v3/member/M001242?format=json,False,2025-07-28T12:49:47.019458
,,,,,Missouri,,,,https://api.congress.gov/v3/member/B000611?format=json,False,2025-07-28T12:49:47.019465
,,,,,New Jersey,10.0,,,https://api.congress.gov/v3/member/M001229?format=json,False,2025-07-28T12:49:47.019472
,,,,,Pennsylvania,6.0,,,https://api.congress.gov/v3/member/H001085?format=json,False,2025-07-28T12:49:47.019479
,,,,,Florida,,,,https://api.congress.gov/v3/member/M001244?format=json,False,2025-07-28T12:49:47.019487
,,,,,North Carolina,9.0,,,https://api.congress.gov/v3/member/M000566?format=json,False,2025-07-28T12:49:47.019494
,,,,,Texas,14.0,,,https://api.congress.gov/v3/member/S001101?format=json,False,2025-07-28T12:49:47.019501
,,,,,California,51.0,,,https://api.congress.gov/v3/member/F000116?format=json,False,2025-07-28T12:49:47.019508
,,,,,New Jersey,8.0,,,https://api.congress.gov/v3/member/M001226?format=json,False,2025-07-28T12:49:47.019515
,,,,,North Carolina,4.0,,,https://api.congress.gov/v3/member/F000477?format=json,False,2025-07-28T12:49:47.019521
,,,,,Michigan,13.0,,,https://api.congress.gov/v3/member/T000488?format=json,False,2025-07-28T12:49:47.019528
,,,,,Florida,1.0,,,https://api.congress.gov/v3/member/P000622?format=json,False,2025-07-28T12:49:47.019536
,,,,,Florida,6.0,,,https://api.congress.gov/v3/member/F000484?format=json,False,2025-07-28T12:49:47.019543
,,,,,Michigan,3.0,,,https://api.congress.gov/v3/member/S001221?format=json,False,2025-07-28T12:49:47.019549
,,,,,Louisiana,4.0,,,https://api.congress.gov/v3/member/J000299?format=json,False,2025-07-28T12:49:47.019557
,,,,,Washington,6.0,,,https://api.congress.gov/v3/member/R000621?format=json,False,2025-07-28T12:49:47.019563
,,,,,West Virginia,2.0,,,https://api.congress.gov/v3/member/M001235?format=json,False,2025-07-28T12:49:47.019570
,,,,,Washington,5.0,,,https://api.congress.gov/v3/member/B001322?format=json,False,2025-07-28T12:49:47.019577
,,,,,Wisconsin,8.0,,,https://api.congress.gov/v3/member/W000829?format=json,False,2025-07-28T12:49:47.019584
,,,,,Wisconsin,3.0,,,https://api.congress.gov/v3/member/V000135?format=json,False,2025-07-28T12:49:47.019608
,,,,,Washington,3.0,,,https://api.congress.gov/v3/member/G000600?format=json,False,2025-07-28T12:49:47.019616
,,,,,Wyoming,,,,https://api.congress.gov/v3/member/H001096?format=json,False,2025-07-28T12:49:47.019639
,,,,,Vermont,,,,https://api.congress.gov/v3/member/B001318?format=json,False,2025-07-28T12:49:47.019646
,,,,,Washington,10.0,,,https://api.congress.gov/v3/member/S001159?format=json,False,2025-07-28T12:49:47.019651
,,,,,Wisconsin,5.0,,,https://api.congress.gov/v3/member/F000471?format=json,False,2025-07-28T12:49:47.019657
,,,,,Wisconsin,7.0,,,https://api.congress.gov/v3/member/T000165?format=json,False,2025-07-28T12:49:47.019663
,,,,,West Virginia,1.0,,,https://api.congress.gov/v3/member/M001205?format=json,False,2025-07-28T12:49:47.019669
,,,,,Wisconsin,1.0,,,https://api.congress.gov/v3/member/S001213?format=json,False,2025-07-28T12:49:47.019675
,,,,,Washington,8.0,,,https://api.congress.gov/v3/member/S001216?format=json,False,2025-07-28T12:49:47.019681
,,,,,Washington,7.0,,,https://api.congress.gov/v3/member/J000298?format=json,False,2025-07-28T12:49:47.019686
,,,,,Wisconsin,6.0,,,https://api.congress.gov/v3/member/G000576?format=json,False,2025-07-28T12:49:47.019692
,,,,,Washington,4.0,,,https://api.congress.gov/v3/member/N000189?format=json,False,2025-07-28T12:49:47.019698
,,,,,Virgin Islands,,,,https://api.congress.gov/v3/member/P000610?format=json,False,2025-07-28T12:49:47.019703
,,,,,Wisconsin,2.0,,,https://api.congress.gov/v3/member/P000607?format=json,False,2025-07-28T12:49:47.019709
,,,,,Washington,1.0,,,https://api.congress.gov/v3/member/D000617?format=json,False,2025-07-28T12:49:47.019715
,,,,,Washington,9.0,,,https://api.congress.gov/v3/member/S000510?format=json,False,2025-07-28T12:49:47.019721
,,,,,Wisconsin,4.0,,,https://api.congress.gov/v3/member/M001160?format=json,False,2025-07-28T12:49:47.019727
,,,,,Washington,2.0,,,https://api.congress.gov/v3/member/L000560?format=json,False,2025-07-28T12:49:47.019732
,,,,,Virginia,7.0,,,https://api.congress.gov/v3/member/V000138?format=json,False,2025-07-28T12:49:47.019738
,,,,,Virginia,10.0,,,https://api.congress.gov/v3/member/S001230?format=json,False,2025-07-28T12:49:47.019744
,,,,,Virginia,5.0,,,https://api.congress.gov/v3/member/M001239?format=json,False,2025-07-28T12:49:47.019750
,,,,,Utah,3.0,,,https://api.congress.gov/v3/member/K000403?format=json,False,2025-07-28T12:49:47.019756
,,,,,Texas,32.0,,,https://api.congress.gov/v3/member/J000310?format=json,False,2025-07-28T12:49:47.019762
,,,,,Texas,26.0,,,https://api.congress.gov/v3/member/G000603?format=json,False,2025-07-28T12:49:47.019767
,,,,,Utah,2.0,,,https://api.congress.gov/v3/member/M001228?format=json,False,2025-07-28T12:49:47.019773
,,,,,Virginia,4.0,,,https://api.congress.gov/v3/member/M001227?format=json,False,2025-07-28T12:49:47.019778
,,,,,Virginia,2.0,,,https://api.congress.gov/v3/member/K000399?format=json,False,2025-07-28T12:49:47.019784
,,,,,Texas,38.0,,,https://api.congress.gov/v3/member/H001095?format=json,False,2025-07-28T12:49:47.019790
,,,,,Texas,30.0,,,https://api.congress.gov/v3/member/C001130?format=json,False,2025-07-28T12:49:47.019795
,,,,,Texas,35.0,,,https://api.congress.gov/v3/member/C001131?format=json,False,2025-07-28T12:49:47.019801
,,,,,Texas,24.0,,,https://api.congress.gov/v3/member/V000134?format=json,False,2025-07-28T12:49:47.019807
,,,,,Utah,4.0,,,https://api.congress.gov/v3/member/O000086?format=json,False,2025-07-28T12:49:47.019813
,,,,,Texas,22.0,,,https://api.congress.gov/v3/member/N000026?format=json,False,2025-07-28T12:49:47.019819
,,,,,Utah,1.0,,,https://api.congress.gov/v3/member/M001213?format=json,False,2025-07-28T12:49:47.019825
,,,,,Texas,23.0,,,https://api.congress.gov/v3/member/G000594?format=json,False,2025-07-28T12:49:47.019830
,,,,,Virginia,6.0,,,https://api.congress.gov/v3/member/C001118?format=json,False,2025-07-28T12:49:47.019836
,,,,,Texas,29.0,,,https://api.congress.gov/v3/member/G000587?format=json,False,2025-07-28T12:49:47.019842
,,,,,Texas,21.0,,,https://api.congress.gov/v3/member/R000614?format=json,False,2025-07-28T12:49:47.019847
,,,,,Texas,27.0,,,https://api.congress.gov/v3/member/C001115?format=json,False,2025-07-28T12:49:47.019853
,,,,,Texas,34.0,,,https://api.congress.gov/v3/member/G000581?format=json,False,2025-07-28T12:49:47.019859
,,,,,Virginia,8.0,,,https://api.congress.gov/v3/member/B001292?format=json,False,2025-07-28T12:49:47.019864
,,,,,Texas,36.0,,,https://api.congress.gov/v3/member/B001291?format=json,False,2025-07-28T12:49:47.019870
,,,,,Texas,33.0,,,https://api.congress.gov/v3/member/V000131?format=json,False,2025-07-28T12:49:47.019876
,,,,,Texas,25.0,,,https://api.congress.gov/v3/member/W000816?format=json,False,2025-07-28T12:49:47.019883
,,,,,Virginia,1.0,,,https://api.congress.gov/v3/member/W000804?format=json,False,2025-07-28T12:49:47.019889
,,,,,Virginia,9.0,,,https://api.congress.gov/v3/member/G000568?format=json,False,2025-07-28T12:49:47.019895
,,,,,Virginia,3.0,,,https://api.congress.gov/v3/member/S000185?format=json,False,2025-07-28T12:49:47.019901
,,,,,Texas,28.0,,,https://api.congress.gov/v3/member/C001063?format=json,False,2025-07-28T12:49:47.019906
,,,,,Texas,31.0,,,https://api.congress.gov/v3/member/C001051?format=json,False,2025-07-28T12:49:47.019912
,,,,,Texas,37.0,,,https://api.congress.gov/v3/member/D000399?format=json,False,2025-07-28T12:49:47.019918
,,,,,Texas,12.0,,,https://api.congress.gov/v3/member/G000601?format=json,False,2025-07-28T12:49:47.019924
,,,,,South Carolina,3.0,,,https://api.congress.gov/v3/member/B001325?format=json,False,2025-07-28T12:49:47.019930
,,,,,Texas,3.0,,,https://api.congress.gov/v3/member/S001224?format=json,False,2025-07-28T12:49:47.019936
,,,,,Tennessee,5.0,,,https://api.congress.gov/v3/member/O000175?format=json,False,2025-07-28T12:49:47.019941
,,,,,Texas,1.0,,,https://api.congress.gov/v3/member/M001224?format=json,False,2025-07-28T12:49:47.019947
,,,,,Texas,8.0,,,https://api.congress.gov/v3/member/L000603?format=json,False,2025-07-28T12:49:47.019952
,,,,,South Carolina,7.0,,,https://api.congress.gov/v3/member/F000478?format=json,False,2025-07-28T12:49:47.019958
,,,,,Texas,15.0,,,https://api.congress.gov/v3/member/D000594?format=json,False,2025-07-28T12:49:47.019964
,,,,,Texas,6.0,,,https://api.congress.gov/v3/member/E000071?format=json,False,2025-07-28T12:49:47.019969
,,,,,Texas,11.0,,,https://api.congress.gov/v3/member/P000048?format=json,False,2025-07-28T12:49:47.019976
,,,,,Texas,13.0,,,https://api.congress.gov/v3/member/J000304?format=json,False,2025-07-28T12:49:47.019982
,,,,,Tennessee,1.0,,,https://api.congress.gov/v3/member/H001086?format=json,False,2025-07-28T12:49:47.019988
,,,,,Texas,4.0,,,https://api.congress.gov/v3/member/F000246?format=json,False,2025-07-28T12:49:47.019993
,,,,,Texas,16.0,,,https://api.congress.gov/v3/member/E000299?format=json,False,2025-07-28T12:49:47.019999
,,,,,Texas,7.0,,,https://api.congress.gov/v3/member/F000468?format=json,False,2025-07-28T12:49:47.020005
,,,,,Texas,5.0,,,https://api.congress.gov/v3/member/G000589?format=json,False,2025-07-28T12:49:47.020010
,,,,,Texas,2.0,,,https://api.congress.gov/v3/member/C001120?format=json,False,2025-07-28T12:49:47.020016
,,,,,Tennessee,6.0,,,https://api.congress.gov/v3/member/R000612?format=json,False,2025-07-28T12:49:47.020022
,,,,,Tennessee,2.0,,,https://api.congress.gov/v3/member/B001309?format=json,False,2025-07-28T12:49:47.020028
,,,,,South Dakota,,,,https://api.congress.gov/v3/member/J000301?format=json,False,2025-07-28T12:49:47.020034
,,,,,South Carolina,4.0,,,https://api.congress.gov/v3/member/T000480?format=json,False,2025-07-28T12:49:47.020040
,,,,,South Carolina,5.0,,,https://api.congress.gov/v3/member/N000190?format=json,False,2025-07-28T12:49:47.020045
,,,,,Texas,19.0,,,https://api.congress.gov/v3/member/A000375?format=json,False,2025-07-28T12:49:47.020051
,,,,,Tennessee,8.0,,,https://api.congress.gov/v3/member/K000392?format=json,False,2025-07-28T12:49:47.020057
,,,,,Texas,20.0,,,https://api.congress.gov/v3/member/C001091?format=json,False,2025-07-28T12:49:47.020063
,,,,,Texas,14.0,,,https://api.congress.gov/v3/member/W000814?format=json,False,2025-07-28T12:49:47.020070
,,,,,Tennessee,4.0,,,https://api.congress.gov/v3/member/D000616?format=json,False,2025-07-28T12:49:47.020076
,,,,,Tennessee,3.0,,,https://api.congress.gov/v3/member/F000459?format=json,False,2025-07-28T12:49:47.020082
,,,,,Tennessee,9.0,,,https://api.congress.gov/v3/member/C001068?format=json,False,2025-07-28T12:49:47.020088
,,,,,Texas,17.0,,,https://api.congress.gov/v3/member/S000250?format=json,False,2025-07-28T12:49:47.020094
,,,,,Texas,10.0,,,https://api.congress.gov/v3/member/M001157?format=json,False,2025-07-28T12:49:47.020099
,,,,,Texas,9.0,,,https://api.congress.gov/v3/member/G000553?format=json,False,2025-07-28T12:49:47.020105
,,,,,South Carolina,6.0,,,https://api.congress.gov/v3/member/C000537?format=json,False,2025-07-28T12:49:47.020111
,,,,,Pennsylvania,7.0,,,https://api.congress.gov/v3/member/M001230?format=json,False,2025-07-28T12:49:47.020117
,,,,,Puerto Rico,,,,https://api.congress.gov/v3/member/H001103?format=json,False,2025-07-28T12:49:47.020122
,,,,,Oregon,3.0,,,https://api.congress.gov/v3/member/D000635?format=json,False,2025-07-28T12:49:47.020128
,,,,,Pennsylvania,8.0,,,https://api.congress.gov/v3/member/B001327?format=json,False,2025-07-28T12:49:47.020134
,,,,,Oregon,5.0,,,https://api.congress.gov/v3/member/B001326?format=json,False,2025-07-28T12:49:47.020140
,,,,,Rhode Island,1.0,,,https://api.congress.gov/v3/member/A000380?format=json,False,2025-07-28T12:49:47.020146
,,,,,Oregon,6.0,,,https://api.congress.gov/v3/member/S001226?format=json,False,2025-07-28T12:49:47.020151
